YEAR,MONTH,DAY,CLOUD8AM,VIS8AM,NGWHAL,DURNAZ,DURNTOT,RGWHAL,LRGWHAL
1,6,10,2,0.100000001,0,117,191,0,-4.60517025
1,8,15,6,1,0,88,156,0,-4.60517025
1,7,21,4,10,2,81,150,0.024691358,-3.361264706
1,6,26,0,10,3,68,133,0.044117648,-2.916594982
1,7,3,5,1,0,109,177,0,-4.60517025
1,9,6,1,10,2,142,198,0.014084507,-3.726186514
1,7,5,4,5,2,123,186,0.016260162,-3.63970232
1,5,23,0,10,2,106,173,0.018867925,-3.545024157
1,6,12,2,1,0,92,144,0,-4.60517025
1,6,20,1,5,0,89,141,0,-4.60517025
1,7,11,3,1,0,61,136,0,-4.60517025
1,6,6,1,10,2,132,194,0.015151516,-3.682837248
1,7,29,1,1,0,61,116,0,-4.60517025
1,6,12,1,1,0,74,144,0,-4.60517025
1,6,30,1,5,0,69,129,0,-4.60517025
1,6,30,0,5,1,108,159,0.009259259,-3.949763298
1,8,10,4,10,3,104,156,0.028846154,-3.248146296
1,9,2,1,10,1,81,144,0.012345679,-3.801122427
1,8,3,2,1,0,72,132,0,-4.60517025
1,7,30,0,5,1,89,140,0.011235955,-3.852059603
1,7,22,2,1,1,83,143,0.012048192,-3.814524651
1,6,24,5,1,0,117,171,0,-4.60517025
1,7,1,3,5,2,93,163,0.021505376,-3.457597017
1,7,6,0,1,0,60,129,0,-4.60517025
1,7,7,1,5,0,131,195,0,-4.60517025
1,7,22,2,10,2,143,202,0.013986014,-3.730284452
1,6,30,4,1,0,88,139,0,-4.60517025
1,7,22,4,5,4,124,184,0.032258064,-3.163960218
1,8,20,6,5,0,132,185,0,-4.60517025
1,7,15,2,1,0,116,185,0,-4.60517025
1,7,28,5,1,1,100,167,0.01,-3.912023067
1,5,31,1,0.5,0,86,165,0,-4.60517025
1,6,28,0,1,0,144,209,0,-4.60517025
1,7,9,1,10,2,64,121,0.03125,-3.188104153
1,8,15,6,1,0,95,165,0,-4.60517025
1,8,1,4,5,5,73,125,0.06849315,-2.544744015
1,7,1,4,1,0,132,200,0,-4.60517025
1,6,27,1,0.5,0,102,170,0,-4.60517025
1,7,7,7,0.100000001,0,68,135,0,-4.60517025
1,6,29,4,0.100000001,0,79,163,0,-4.60517025
1,6,31,1,1,1,138,198,0.007246377,-4.060153008
1,6,13,0,5,2,81,147,0.024691358,-3.361264706
1,7,20,8,0.100000001,0,68,148,0,-4.60517025
1,7,21,4,5,1,75,140,0.013333334,-3.757872343
1,7,6,0,5,2,89,154,0.02247191,-3.427379847
1,8,18,4,5,0,141,206,0,-4.60517025
1,8,30,2,1,0,94,161,0,-4.60517025
1,7,2,1,5,1,103,171,0.009708738,-3.926693201
1,7,16,0,10,3,139,194,0.021582734,-3.455144644
1,6,14,2,10,1,108,163,0.009259259,-3.949763298
1,6,19,1,5,1,85,138,0.011764706,-3.827465534
1,7,8,5,5,13,125,180,0.104000002,-2.171556711
1,5,3,6,10,4,127,189,0.031496063,-3.182156801
1,7,17,1,1,1,129,180,0.007751938,-4.03126049
1,7,16,1,5,0,91,160,0,-4.60517025
1,6,14,0,1,0,94,154,0,-4.60517025
1,7,3,7,1,3,72,146,0.041666668,-2.962942362
1,7,28,1,10,5,132,197,0.037878789,-3.039082766
1,7,18,2,1,2,119,178,0.016806724,-3.619102478
1,6,12,2,0.5,0,103,166,0,-4.60517025
3,6,6,4,1,0,85,156,0,-4.60517025
3,7,26,1,10,3,105,157,0.028571429,-3.25524354
